iter	Passed	Remaining
0	133	133153
1	133	66835
2	134	44726
3	135	33679
4	135	27044
5	136	22612
6	137	19477
7	137	17108
8	138	15263
9	139	13783
10	139	12569
11	140	11558
12	140	10703
13	141	9966
14	142	9326
15	142	8782
16	143	8297
17	144	7899
18	145	7519
19	146	7165
20	146	6843
21	147	6552
22	147	6284
23	148	6043
24	149	5826
25	150	5620
26	150	5429
27	151	5250
28	151	5082
29	152	4927
30	153	4785
31	153	4649
32	154	4519
33	154	4402
34	155	4289
35	156	4184
36	156	4084
37	157	3993
38	158	3902
39	158	3815
40	159	3731
41	160	3652
42	161	3584
43	161	3515
44	162	3446
45	162	3379
46	163	3315
47	164	3255
48	164	3196
49	165	3140
50	165	3086
51	166	3040
52	167	2990
53	168	2943
54	168	2897
55	169	2851
56	169	2808
57	170	2767
58	170	2726
59	171	2688
60	172	2649
61	172	2616
62	173	2581
63	174	2546
64	174	2513
65	175	2479
66	175	2449
67	176	2419
68	177	2389
69	177	2360
70	178	2332
71	179	2310
72	179	2284
73	180	2258
74	181	2232
75	181	2208
76	182	2183
77	182	2159
78	183	2137
79	183	2114
80	184	2092
81	185	2073
82	185	2050
83	186	2029
84	186	2011
85	187	1992
86	188	1974
87	188	1955
88	189	1937
89	189	1919
90	190	1901
91	190	1884
92	191	1869
93	192	1853
94	192	1837
95	193	1821
96	193	1805
97	194	1790
98	195	1774
99	195	1760
100	196	1746
101	196	1733
102	197	1723
103	198	1711
104	199	1698
105	199	1685
106	200	1672
107	200	1659
108	201	1647
109	202	1634
110	202	1622
111	203	1610
112	203	1600
113	204	1590
114	205	1579
115	205	1568
116	206	1556
117	206	1545
118	207	1535
119	207	1525
120	208	1515
121	209	1504
122	209	1494
123	210	1486
124	211	1478
125	211	1469
126	212	1459
127	212	1449
128	213	1440
129	213	1431
130	214	1423
131	215	1414
132	215	1405
133	216	1398
134	216	1390
135	217	1382
136	218	1374
137	218	1366
138	219	1359
139	219	1351
140	220	1343
141	220	1334
142	221	1327
143	222	1320
144	222	1313
145	223	1307
146	224	1300
147	224	1292
148	225	1285
149	225	1278
150	226	1271
151	226	1265
152	227	1258
153	227	1251
154	228	1246
155	229	1241
156	230	1236
157	230	1230
158	231	1224
159	231	1217
160	232	1210
161	232	1204
162	233	1198
163	233	1192
164	234	1186
165	235	1181
166	235	1175
167	236	1169
168	236	1164
169	237	1158
170	237	1153
171	238	1147
172	238	1142
173	239	1136
174	240	1131
175	240	1127
176	241	1123
177	242	1118
178	242	1113
179	243	1108
180	243	1103
181	244	1098
182	245	1093
183	245	1089
184	246	1084
185	246	1079
186	247	1075
187	248	1071
188	248	1067
189	249	1062
190	249	1058
191	250	1054
192	251	1049
193	251	1045
194	252	1040
195	252	1036
196	253	1032
197	254	1030
198	255	1026
199	255	1022
200	256	1018
201	256	1014
202	257	1010
203	257	1006
204	258	1002
205	259	998
206	259	995
207	260	992
208	261	988
209	261	984
210	262	980
211	262	976
212	263	973
213	263	969
214	264	965
215	264	961
216	265	957
217	266	956
218	267	954
219	268	950
220	268	948
221	269	944
222	270	941
223	270	937
224	271	934
225	271	931
226	272	928
227	273	925
228	274	922
229	274	919
230	275	916
231	275	912
232	276	909
233	276	906
234	277	903
235	278	901
236	279	898
237	279	895
238	280	892
239	280	889
240	281	885
241	281	882
242	282	879
243	282	876
244	283	873
245	283	870
246	284	868
247	285	865
248	286	862
249	286	860
250	287	857
251	287	854
252	288	851
253	288	848
254	289	845
255	289	842
256	290	840
257	291	838
258	292	835
259	292	833
260	293	830
261	293	827
262	294	824
263	294	822
264	295	819
265	295	816
266	296	814
267	297	811
268	298	809
269	298	807
270	299	804
271	299	801
272	300	799
273	300	796
274	301	794
275	301	791
276	302	788
277	302	786
278	303	784
279	304	782
280	304	780
281	305	777
282	305	775
283	306	772
284	307	770
285	307	767
286	308	765
287	308	763
288	309	760
289	309	758
290	310	756
291	311	754
292	311	752
293	312	749
294	312	747
295	313	745
296	313	742
297	314	740
298	314	738
299	315	735
300	316	733
301	316	731
302	317	729
303	317	727
304	318	725
305	318	722
306	319	720
307	319	718
308	320	716
309	320	714
310	321	712
311	322	710
312	322	708
313	323	706
314	324	704
315	324	702
316	325	700
317	325	698
318	326	696
319	326	694
320	327	691
321	327	689
322	328	688
323	329	686
324	329	684
325	330	682
326	330	680
327	331	678
328	331	676
329	332	674
330	332	672
331	333	670
332	333	668
333	334	667
334	335	665
335	335	663
336	336	661
337	336	659
338	337	658
339	338	656
340	338	654
341	339	652
342	339	651
343	340	649
344	341	648
345	341	646
346	342	644
347	343	642
348	343	640
349	344	638
350	344	637
351	345	635
352	345	633
353	346	631
354	346	630
355	347	628
356	348	627
357	348	625
358	349	623
359	349	622
360	350	620
361	351	618
362	351	616
363	352	615
364	352	613
365	353	612
366	353	610
367	354	608
368	355	607
369	355	605
370	356	603
371	356	602
372	357	600
373	357	598
374	358	597
375	358	595
376	359	594
377	360	592
378	360	590
379	361	589
380	361	587
381	362	586
382	362	584
383	363	582
384	363	581
385	364	579
386	364	577
387	366	577
388	366	576
389	367	574
390	368	573
391	368	571
392	369	570
393	369	568
394	370	567
395	370	565
396	371	564
397	372	563
398	373	562
399	373	560
400	374	558
401	374	557
402	375	556
403	375	554
404	376	553
405	377	551
406	377	550
407	378	549
408	379	548
409	379	546
410	380	545
411	380	543
412	381	542
413	382	540
414	382	539
415	383	538
416	384	536
417	384	535
418	385	534
419	386	533
420	386	531
421	387	530
422	387	528
423	388	527
424	388	525
425	389	524
426	389	523
427	390	521
428	391	520
429	391	519
430	392	517
431	392	516
432	393	515
433	393	513
434	394	512
435	394	510
436	395	509
437	395	508
438	396	506
439	397	505
440	397	504
441	398	503
442	399	501
443	399	500
444	400	499
445	400	497
446	401	496
447	401	495
448	402	494
449	403	493
450	404	491
451	404	490
452	405	489
453	405	487
454	406	486
455	406	485
456	407	484
457	408	482
458	408	481
459	409	480
460	410	479
461	410	478
462	411	477
463	412	475
464	412	474
465	413	473
466	413	472
467	414	470
468	414	469
469	415	468
470	416	467
471	416	466
472	417	464
473	417	463
474	418	462
475	418	461
476	419	459
477	419	458
478	420	457
479	421	456
480	422	455
481	422	454
482	423	453
483	424	452
484	424	451
485	425	449
486	425	448
487	426	447
488	427	446
489	427	445
490	428	444
491	429	443
492	429	441
493	430	440
494	430	439
495	431	438
496	431	436
497	432	435
498	432	434
499	433	433
500	434	432
501	434	431
502	435	430
503	435	428
504	436	427
505	436	426
506	437	425
507	437	424
508	438	422
509	438	421
510	439	420
511	440	419
512	441	418
513	441	417
514	442	416
515	442	415
516	443	414
517	443	412
518	444	411
519	444	410
520	445	409
521	446	408
522	446	407
523	447	406
524	447	405
525	448	404
526	448	402
527	449	401
528	450	400
529	450	399
530	451	398
531	452	397
532	452	396
533	453	395
534	454	394
535	454	393
536	455	392
537	455	391
538	456	390
539	456	389
540	457	388
541	458	387
542	458	386
543	459	384
544	459	383
545	460	382
546	461	381
547	461	380
548	462	379
549	462	378
550	463	377
551	463	376
552	464	375
553	465	374
554	465	373
555	466	372
556	466	371
557	467	370
558	467	369
559	468	368
560	469	367
561	469	366
562	470	364
563	470	363
564	471	362
565	472	362
566	472	360
567	473	359
568	473	358
569	474	357
570	474	356
571	475	355
572	475	354
573	476	353
574	477	352
575	478	351
576	478	350
577	479	349
578	479	348
579	480	347
580	480	346
581	481	345
582	481	344
583	482	343
584	483	342
585	484	341
586	484	341
587	485	340
588	485	339
589	486	337
590	486	336
591	487	335
592	488	334
593	489	334
594	489	333
595	490	332
596	491	331
597	491	330
598	492	329
599	493	328
600	494	327
601	494	327
602	495	326
603	495	325
604	496	324
605	496	323
606	497	322
607	498	321
608	498	320
609	499	319
610	499	318
611	500	317
612	501	316
613	501	315
614	502	314
615	502	313
616	503	312
617	504	311
618	504	310
619	505	309
620	505	308
621	506	307
622	507	306
623	507	305
624	508	304
625	509	304
626	509	303
627	510	302
628	511	301
629	511	300
630	512	299
631	513	298
632	513	297
633	514	297
634	515	296
635	516	295
636	516	294
637	517	293
638	518	292
639	519	292
640	519	291
641	520	290
642	520	289
643	521	288
644	522	287
645	523	286
646	524	286
647	524	285
648	525	284
649	526	283
650	526	282
651	527	281
652	527	280
653	528	279
654	528	278
655	529	277
656	530	277
657	531	276
658	532	275
659	532	274
660	533	273
661	533	272
662	534	271
663	534	270
664	535	269
665	535	268
666	536	268
667	537	267
668	538	266
669	538	265
670	539	264
671	539	263
672	540	262
673	540	261
674	541	260
675	541	259
676	542	258
677	543	258
678	544	257
679	544	256
680	545	255
681	545	254
682	546	253
683	547	252
684	547	251
685	548	250
686	549	250
687	549	249
688	550	248
689	550	247
690	551	246
691	552	245
692	552	244
693	553	243
694	553	242
695	555	242
696	556	242
697	557	241
698	557	240
699	558	239
700	559	238
701	559	237
702	560	236
703	560	235
704	561	235
705	562	234
706	562	233
707	563	232
708	564	231
709	564	230
710	565	229
711	565	228
712	566	227
713	566	227
714	567	226
715	568	225
716	569	224
717	569	223
718	570	222
719	570	221
720	571	221
721	571	220
722	572	219
723	573	218
724	573	217
725	574	216
726	575	215
727	575	215
728	576	214
729	576	213
730	577	212
731	578	211
732	578	210
733	579	209
734	579	209
735	580	208
736	581	207
737	581	206
738	582	205
739	583	204
740	583	204
741	584	203
742	584	202
743	585	201
744	586	200
745	587	199
746	587	199
747	588	198
748	588	197
749	589	196
750	590	195
751	590	194
752	591	193
753	591	193
754	592	192
755	593	191
756	594	190
757	595	190
758	595	189
759	596	188
760	597	187
761	597	186
762	598	185
763	599	185
764	600	184
765	600	183
766	601	182
767	601	181
768	602	180
769	602	180
770	603	179
771	604	178
772	605	177
773	605	176
774	606	176
775	606	175
776	607	174
777	608	173
778	608	172
779	609	171
780	609	170
781	610	170
782	611	169
783	611	168
784	612	167
785	612	166
786	613	165
787	614	165
788	614	164
789	615	163
790	615	162
791	616	161
792	617	161
793	617	160
794	618	159
